Date,Wipro,YesBank,TTM,SUNPHARMA
7/10/2018,269.838074,371.399994,20.08,562.254578
7/11/2018,271.333862,371.600006,20.17,559.064148
7/12/2018,278.663147,374.799988,19.459999,562.753052
7/13/2018,280.059204,376,19.5,558.067139
7/16/2018,282.302887,378.5,19.209999,532.344727
7/17/2018,283.100616,380.799988,18.5,547.000549
7/18/2018,283.998077,383.649994,18.870001,548.246826
7/19/2018,284.995239,392.299988,18.49,543.311646
7/20/2018,282.203156,386.5,18.4,558.416077
7/23/2018,275.6716,386.600006,18.389999,560.061157
7/24/2018,272.181458,384.350006,18.59,561.008301
7/25/2018,273.926544,382.899994,18.780001,556.471985
7/26/2018,270.635803,369.75,19.17,553.730286
7/27/2018,273.727081,370,18.74,555.375244
7/30/2018,272.38089,369.299988,19.25,561.008301
7/31/2018,275.621735,367.950012,19.389999,566.790833
8/1/2018,276.569061,365.850006,18.200001,572.922424
8/2/2018,278.314148,361.799988,19.040001,578.65509
8/3/2018,277.217224,373.200012,19,584.088684
8/6/2018,276.269897,377.899994,18.85,574.417908
8/7/2018,276.668793,381.649994,18.6,567.987244
8/8/2018,277.71582,382.75,18.27,572.274353
8/9/2018,277.915283,381.049988,18.49,569.731995
8/10/2018,278.06485,382.850006,18.43,552.334473
8/13/2018,281.056396,370.700012,17.870001,562.204712
8/14/2018,284.247375,382.5,17.42,599.990723
8/16/2018,278.663147,378.450012,17.43,617.836975
8/17/2018,279.261444,393.200012,17.18,621.625488
8/20/2018,284.247375,394,17.75,624.466919
8/21/2018,288.136414,391.350006,18.370001,633.489746
8/23/2018,288.934143,388.600006,19.1,637.72699
8/24/2018,291.327393,374.200012,19.16,627.906555
8/27/2018,295.016968,383,18.950001,619.930603
8/28/2018,294.76767,370.600006,18.18,619.332458
8/29/2018,295.914429,365.149994,18.35,619.382263
8/30/2018,298.108246,361.75,18.67,638.026062
8/31/2018,300.401764,343.5,18.58,650.887268
9/3/2018,307.481781,339.049988,18.5,654.227234
9/4/2018,312.467712,334.049988,18.049999,653.379761
9/5/2018,317.952209,343.799988,18.549999,661.754517
9/6/2018,320.295593,339.200012,18.299999,675.363464
9/7/2018,323.785736,323.399994,18.42,662.252991
9/10/2018,324.0849,323.649994,18.450001,636.081909
9/11/2018,323.037872,316.600006,18.84,628.504761
9/12/2018,327.824341,314.299988,18.77,647.946167
9/14/2018,329.270264,323.100006,18.33,663.25
9/17/2018,328.9711,318.600006,18.32,646.200012
9/18/2018,331.613617,323.549988,18.25,642.5
9/19/2018,331.763214,319.200012,18.040001,648.849976
9/21/2018,334.256195,226.5,17.67,634.900024
9/24/2018,331.763214,226.399994,17.51,624
9/25/2018,327.37558,219.699997,17.82,641.099976
9/26/2018,318.351074,223.75,17.83,639.849976
9/27/2018,318.051941,203.25,17.139999,631.25
9/28/2018,323.087708,183.649994,16.540001,623.25
10/1/2018,329.220398,200.850006,16.469999,634.700012
10/3/2018,326.57785,212.75,16.17,620.849976
10/4/2018,324.733063,215,15.58,599.049988
10/5/2018,324.384033,206,15.36,597.950012
10/8/2018,316.606018,221.199997,15.57,604.25
10/9/2018,320.744324,224.649994,15.52,609.75
10/10/2018,315.060394,233.899994,15.38,602.950012
10/11/2018,312.168518,240.199997,14.93,586.700012
10/12/2018,315.409363,246.449997,14.52,590.599976
10/15/2018,319.049133,246,14.36,599.950012
10/16/2018,318.151642,248.899994,12.78,602.700012
10/17/2018,322.240082,231.899994,12.18,593.450012
10/19/2018,322.240082,217.899994,12.08,609.950012
10/22/2018,321.292786,211.5,12.37,606.900024
10/23/2018,308.229675,213.199997,12.47,575.849976
10/24/2018,307.930481,204,12.65,570.700012
10/25/2018,317.653046,198.350006,12.06,558.75
10/26/2018,319.697296,180.699997,11.84,554.049988
10/29/2018,328.572205,181.300003,11.89,573.599976
10/30/2018,326.57785,182.050003,11.61,562.049988
10/31/2018,330.267456,188.100006,11.87,580.25
11/1/2018,328.721802,204.050003,11.39,571.849976
11/2/2018,317.503479,209.100006,11.67,571.849976
11/5/2018,323.187439,210.100006,11.59,571.599976
11/6/2018,323.985168,214.449997,11.92,579.349976
11/9/2018,323.935333,227.899994,12.21,597.450012
11/12/2018,322.439545,223.050003,12.65,589.5
11/13/2018,325.231659,225.449997,12.76,561.75
11/14/2018,323.636139,222.399994,12.93,520.099976
11/15/2018,322.240082,205.850006,13.01,515.099976
11/16/2018,325.281525,191,13.18,519.75
11/19/2018,331.912781,204.800003,13.05,531.549988
11/20/2018,320.395294,192.100006,13.11,525.450012
11/21/2018,313.265442,198.149994,12.12,532.849976
11/22/2018,306.235291,195.550003,12.18,525.950012
11/26/2018,317.553345,187.899994,12.26,510.75
11/27/2018,311.171356,182.649994,12.57,493.850006
11/28/2018,309.42627,162.100006,12.56,486
11/29/2018,314.013336,160.449997,12.79,484.399994
11/30/2018,323.73587,169.800003,12.62,492.600006
12/3/2018,327.325745,178,13.02,455.399994
12/4/2018,334.006897,176.5,12.89,442.899994
12/5/2018,335.502655,173.399994,12.85,412.950012
12/6/2018,330.716156,168.449997,12.66,420.149994
12/7/2018,332.361511,166.199997,12.51,411.25
12/10/2018,325.680389,165.649994,12.47,399
12/11/2018,327.076447,177.850006,12.2,422.299988
12/12/2018,329.120667,186.600006,12.4,431.450012
12/13/2018,337.696442,174.699997,12.09,422.100006
12/14/2018,332.162079,180.350006,11.46,420.649994
12/17/2018,338.643799,181,11.26,420.950012
12/18/2018,334.106567,179,10.67,433.450012
12/19/2018,339.740692,179.550003,10.8,423.799988
12/20/2018,332.311646,186.75,11.51,429.049988
12/21/2018,321.193054,182.949997,11.58,425.299988
12/24/2018,325.780121,182.300003,11.53,424.350006
12/26/2018,325.231659,179.449997,12,413.649994
12/27/2018,326.528015,178.100006,12.26,411.149994
12/28/2018,329.120667,181.449997,11.92,425.200012
12/31/2018,329.918427,181.800003,12.43,430.5
1/1/2019,325.730225,184.25,12.37,433.549988
1/2/2019,324.633331,184.649994,12.07,440.049988
1/3/2019,324.583496,184.100006,12.31,436.100006
1/4/2019,323.536438,189.649994,12.08,433.799988
1/7/2019,323.337006,187.149994,12.31,430.799988
1/8/2019,324.633331,192.350006,12.18,448.049988
1/9/2019,328.073639,186.449997,12.06,448.75
1/10/2019,324.832764,186.899994,11.71,444.600006
1/11/2019,327.774475,184.25,12.54,444.399994
1/14/2019,311.669922,195.350006,12.75,450.850006
1/15/2019,328.871368,203,12.96,452.450012
1/16/2019,335.602356,208.350006,13.19,453.799988
1/17/2019,334.455597,201.5,13.37,426.549988
1/18/2019,345.175323,198.600006,12.85,390.75
1/21/2019,336.848846,191.949997,12.75,398.299988
1/22/2019,345.524353,192.199997,12.99,418.950012
1/23/2019,350.56012,197.25,13.07,431
1/24/2019,350.759583,215.399994,12.98,423
1/25/2019,352.454803,219.600006,12.96,422.399994
1/28/2019,354.149994,207.5,12.48,411.75
1/29/2019,359.399994,202.899994,12.64,422.399994
1/30/2019,363.25,199.5,12.26,417.950012
1/31/2019,369.200012,194.100006,12.37,423.450012
2/1/2019,371.549988,185.600006,12.21,423.25
2/4/2019,371.25,179.800003,12.33,414.799988
2/5/2019,368.450012,176.100006,12.58,409.899994
2/6/2019,372.200012,176.449997,13.07,416.600006
2/7/2019,373.799988,178.75,12.9,437.399994
